Cmpd Label,Smiles,Energy(eV)
5ie,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1ccc(cn1)C#N,3.2615
5iil,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1ccc(c(=O)o1)C#N,2.8443
5iiu,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1occ(c(=O)c1)C#N,3.2992
5iio,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1c(cc(c(=O)o1)C#N)C,2.811
5iiq,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1occ(c(=O)c1C)C#N,3.3376
5iim,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1cc(c(c(=O)o1)C#N)C,2.955
5iip,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1oc(c(c(=O)c1)C#N)C,3.3247
5il,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1ccc(c(=O)o1)C#N,2.8082
5iiil,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1ccc(C#N)c(=O)o1,2.8051
5ivl,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1ccc(C#N)c(=O)o1,2.8629
5io,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1c(cc(c(=O)o1)C#N)C,2.7741
5iiio,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1c(cc(C#N)c(=O)o1)C,2.7746
5ivo,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1c(cc(C#N)c(=O)o1)C,2.8278
5im,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1cc(c(c(=O)o1)C#N)C,2.9205
5iiim,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1cc(c(C#N)c(=O)o1)C,2.9162
5ivm,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1cc(c(C#N)c(=O)o1)C,2.9737
5iu,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1cc(=O)c(co1)C#N,3.2638
5iiiu,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1cc(=O)c(C#N)co1,3.2569
5ivu,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1occ(C#N)c(=O)c1,3.3235
5iq,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1c(c(=O)c(co1)C#N)C,3.3093
5iiiq,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1c(c(=O)c(C#N)co1)C,3.2971
5ivq,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1occ(C#N)c(=O)c1C,3.361
5ip,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1cc(=O)c(c(C)o1)C#N,3.2923
5iiip,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1cc(=O)c(C#N)c(o1)C,3.2827
5ivp,c1(cc2c(cc1)cc(cc2)N(C)CCF)C#Cc1oc(c(C#N)c(=O)c1)C,3.3488
1ib,N(c1ccc(cc1)c1cc2c(cc1)cc(cc2)C(=C(C#N)C#N)C)(C)C,3.23
1ic,N#CC(=C(C)c1ccc(c2ccc(N(C)C)cc2)nc1)C#N,3.1011
1in,N(c1ccc(c2cc(C)oc(=O)c2C#N)cc1)(C)C,3.3607
1iib,N(c1ccc(cc1)c1cc2c(cc1)cc(cc2)C(=C(C#N)C#N)C)(CC)CCF,3.2304
1iic,N#CC(=C(C)c1ccc(c2ccc(N(CCF)CC)cc2)nc1)C#N,3.1373
1iik,N(c1ccc(c2ncccn2)cc1)(CCF)CC,4.0497
1iin,N(c1ccc(c2cc(C)oc(=O)c2C#N)cc1)(CCF)CC,3.3834
1iiib,N(c1ccc(cc1)c1cc2c(cc1)cc(cc2)C(=C(C#N)C#N)C)(CC)CCO,3.178
1iiic,N#CC(=C(C)c1ccc(c2ccc(N(CCO)CC)cc2)nc1)C#N,3.0738
1iiik,N(c1ccc(c2ncccn2)cc1)(CCO)CC,4.0011
1iiin,N(c1ccc(c2cc(C)oc(=O)c2C#N)cc1)(CCO)CC,3.327
1ivb,N(c1ccc(cc1)c1cc2c(cc1)cc(cc2)C(=C(C#N)C#N)C)(CCF)C,3.2721
1ivc,N#CC(=C(C)c1ccc(c2ccc(N(CCF)C)cc2)nc1)C#N,3.1948
1ivk,N(c1ccc(c2ncccn2)cc1)(CCF)C,4.086
1ivn,N(c1ccc(c2cc(C)oc(=O)c2C#N)cc1)(CCF)C,3.419
2ic,c1(cc2c(cc1)cc(cc2)N(C)C)c1ccc(cn1)C(=C(C#N)C#N)C,3.0698
2ik,c1(cc2c(cc1)cc(cc2)N(C)C)c1ncccn1,3.6745
2in,c1(cc2c(cc1)cc(cc2)N(C)C)c1cc(oc(=O)c1C#N)C,3.1874
2iik,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1ncccn1,4.1321
2iin,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1cc(oc(=O)c1C#N)C,3.2245
2iiic,c1(cc2c(cc1)cc(cc2)N(CC)CCO)c1ccc(cn1)C(=C(C#N)C#N)C,3.0585
2iiik,c1(cc2c(cc1)cc(cc2)N(CCO)CC)c1ncccn1,4.091
2iiin,c1(cc2c(cc1)cc(cc2)N(CCO)CC)c1cc(oc(=O)c1C#N)C,3.1728
2ivc,c1(cc2c(cc1)cc(cc2)N(CCF)C)c1ccc(cn1)C(=C(C#N)C#N)C,3.1279
2ivk,c1(cc2c(cc1)cc(cc2)N(CCF)C)c1ncccn1,4.0412
2ivn,c1(cc2c(cc1)cc(cc2)N(CCF)C)c1cc(oc(=O)c1C#N)C,3.2507
2iic,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1ccc(cn1)C(=C(C#N)C#N)C,3.1129
